0 0 0 0
-0.292 1 0 0
-0.277 1 1 1
-0.262 1 2 3
-0.248 0 4 7
-0.232 2 6 13
-0.218 2 3 16
-0.202 1 5 21
-0.188 6 8 29
-0.172 13 5 34
-0.158 8 9 43
-0.143 10 15 58
-0.128 21 14 72
-0.112 38 27 99
-0.098 59 48 147
-0.082 99 86 233
-0.068 192 186 419
-0.052 352 287 706
-0.038 647 654 1360
-0.022 1465 1599 2959
-0.008 3382 3960 6919
0.008 2534 2067 8986
0.022 567 476 9462
0.038 124 84 9546
0.052 25 14 9560
0.068 11 4 9564
0.082 2 0 9564
0.098 3 0 9564
0.112 0 0 9564
0.128 0 0 9564
0.143 0 0 9564
0.158 0 0 9564
0.172 0 0 9564
0.188 0 0 9564
0.202 0 0 9564
0.218 0 0 9564
0.232 0 0 9564
0.248 0 0 9564
0.262 0 0 9564
0.277 0 0 9564
0.292 0 0 9564
0.308 0 0 9564
0.322 0 0 9564
0.338 0 0 9564
0.352 0 0 9564
0.368 0 0 9564
0.382 0 0 9564
0.398 0 0 9564
0.412 0 0 9564
0.428 0 0 9564
0.442 0 0 9564
0.458 0 0 9564
0.473 0 0 9564
0.488 0 0 9564
0.502 0 0 9564
0.518 0 0 9564
0.532 0 0 9564
0.548 0 0 9564
0.562 0 0 9564
0.577 0 0 9564
