0 0 0 0
-0.292 0 1 1
-0.277 1 4 5
-0.262 4 3 8
-0.248 1 4 12
-0.232 2 6 18
-0.218 2 6 24
-0.202 10 10 34
-0.188 9 8 42
-0.172 9 12 54
-0.158 22 16 70
-0.143 24 23 93
-0.128 35 31 124
-0.112 47 39 163
-0.098 93 65 228
-0.082 154 113 341
-0.068 235 220 561
-0.052 437 422 983
-0.038 819 783 1766
-0.022 1716 1814 3580
-0.008 3145 3711 7291
0.008 1994 1633 8924
0.022 516 415 9339
0.038 121 83 9422
0.052 42 24 9446
0.068 20 13 9459
0.082 10 7 9466
0.098 1 1 9467
0.112 0 0 9467
0.128 0 0 9467
0.143 0 0 9467
0.158 0 0 9467
0.172 0 0 9467
0.188 0 0 9467
0.202 0 0 9467
0.218 0 0 9467
0.232 0 0 9467
0.248 0 0 9467
0.262 0 0 9467
0.277 0 0 9467
0.292 0 0 9467
0.308 0 0 9467
0.322 0 0 9467
0.338 0 0 9467
0.352 0 0 9467
0.368 0 0 9467
0.382 0 0 9467
0.398 0 0 9467
0.412 0 0 9467
0.428 0 0 9467
0.442 0 0 9467
0.458 0 0 9467
0.473 0 0 9467
0.488 0 0 9467
0.502 0 0 9467
0.518 0 0 9467
0.532 0 0 9467
0.548 0 0 9467
0.562 0 0 9467
0.577 0 0 9467
