0 0 0 0
-0.292 0 2 2
-0.277 0 0 2
-0.262 1 1 3
-0.248 1 3 6
-0.232 1 5 11
-0.218 1 2 13
-0.202 3 9 22
-0.188 2 3 25
-0.172 10 13 38
-0.158 7 9 47
-0.143 15 13 60
-0.128 17 16 76
-0.112 23 28 104
-0.098 33 47 151
-0.082 47 44 195
-0.068 76 119 314
-0.052 172 242 556
-0.038 494 522 1078
-0.022 1352 1461 2539
-0.008 3878 4164 6703
0.008 2696 2313 9016
0.022 403 242 9258
0.038 51 31 9289
0.052 14 11 9300
0.068 5 8 9308
0.082 14 8 9316
0.098 2 1 9317
0.112 0 0 9317
0.128 0 0 9317
0.143 0 0 9317
0.158 0 0 9317
0.172 0 0 9317
0.188 0 0 9317
0.202 0 0 9317
0.218 0 0 9317
0.232 0 0 9317
0.248 0 0 9317
0.262 0 0 9317
0.277 0 0 9317
0.292 0 0 9317
0.308 0 0 9317
0.322 0 0 9317
0.338 0 0 9317
0.352 0 0 9317
0.368 0 0 9317
0.382 0 0 9317
0.398 0 0 9317
0.412 0 0 9317
0.428 0 0 9317
0.442 0 0 9317
0.458 0 0 9317
0.473 0 0 9317
0.488 0 0 9317
0.502 0 0 9317
0.518 0 0 9317
0.532 0 0 9317
0.548 0 0 9317
0.562 0 0 9317
0.577 0 0 9317
