0 0 0 0
-0.395 0 0 0
-0.385 0 0 0
-0.375 0 0 0
-0.365 0 0 0
-0.355 0 0 0
-0.345 0 0 0
-0.335 0 0 0
-0.325 0 0 0
-0.315 0 0 0
-0.305 0 0 0
-0.295 0 0 0
-0.285 0 0 0
-0.275 0 0 0
-0.265 0 0 0
-0.255 0 0 0
-0.245 0 1 1
-0.235 0 1 2
-0.225 1 2 4
-0.215 0 4 8
-0.205 0 5 13
-0.195 0 4 17
-0.185 3 6 23
-0.175 6 6 29
-0.165 4 15 44
-0.155 9 16 60
-0.145 24 20 80
-0.135 23 15 95
-0.125 33 16 111
-0.115 35 23 134
-0.105 38 29 163
-0.095 53 40 203
-0.085 49 32 235
-0.075 83 64 299
-0.065 103 73 372
-0.055 173 130 502
-0.045 248 195 697
-0.035 509 406 1103
-0.025 916 854 1957
-0.015 2008 1993 3950
-0.005 3927 4383 8333
0.005 3492 3466 11799
0.015 1501 1452 13251
0.025 320 309 13560
0.035 75 73 13633
0.045 30 30 13663
0.055 10 14 13677
0.065 13 10 13687
0.075 4 5 13692
0.085 3 2 13694
0.095 1 1 13695
0.105 1 0 13695
0.115 0 0 13695
0.125 0 0 13695
0.135 0 0 13695
0.145 0 0 13695
0.155 0 0 13695
0.165 0 0 13695
0.175 0 0 13695
0.185 0 0 13695
