"name"	"fitted1"	"rep"
"phnA"	-0.00521488170959218	1
"ESCRE1666"	-0.01482830690028	1
"frlR"	-0.0277313574392506	1
"IR2129"	-0.00850052468440373	1
"yiaM"	-0.00789673504196929	1
"IR206"	-0.00418612492709994	1
"ycjU"	-0.00699869423276158	1
"IR1713"	-0.00983888298313044	1
"yghG"	-0.0403464692272405	1
"yraL"	-0.0300095464943166	1
"gntX"	-0.00663760377555961	1
"yjeM"	-0.00939892941832305	1
"glxK"	-0.0120584842033095	1
"ECB_02859"	-0.00652183549067043	1
"IR796"	-0.0262199169293315	1
"appC"	-0.00736287849021892	1
"eutG"	-0.0222698959142415	1
"ssnA"	-0.00637802756257294	1
"ygaU"	-0.000654174416683988	1
"uhpT"	-0.0154904380647601	1
"IR369"	-0.0249348300260829	1
"sgcQ"	-0.0285077653580949	1
"citE"	-0.0220120852226971	1
"alsC"	-0.00321374306848599	1
"waaL"	-0.00150731467685486	1
"IR3527"	-0.0437844205559962	1
"mipA"	-0.014104336081204	1
"sspB"	-0.0364419192321595	1
"xylE"	-0.0196947977123002	1
"yjgR"	-0.0157232898231723	1
"rhtA"	-0.00899705574247425	1
"IR2359"	-0.0193737653912533	1
"yqjI"	-0.0023941108868428	1
"qseB"	-0.00117168774085921	1
"IR3453"	-0.065818230214426	1
"tdcF"	-0.00873104888640721	1
"leuL"	-0.141141663904324	1
"IR2246"	-0.0487480148782306	1
"IR2343"	-0.0493382644989191	1
"yfaH"	-0.0290824940564333	1
"ygcU"	-0.0193678629060259	1
"ylaC"	-0.00163656398203478	1
"ychH"	-0.0139988116045715	1
"ampD"	-0.0244731074035828	1
"proB"	-0.032568368859454	1
"ybgK"	-0.00256420601532718	1
"hflD"	-0.00537808988308438	1
"IR3593"	-0.0281287461765702	1
"rluD"	-0.0329257741820944	1
"yhhJ"	-0.00997510283904648	1
"IR1985"	-0.0188272642483962	1
"IR1611"	-0.0297150812127572	1
"ygjK"	-0.00422521684834619	1
"yhjE"	-0.00254981005807297	1
"yidX"	-0.00652046542464753	1
"bfd"	-0.0144971688552646	1
"sra"	-0.0999799400945911	1
"ybcQ#1"	-0.0181861730960434	1
"amiB"	-0.0106411822926217	1
"IR81"	-0.00632514686598687	1
"potB"	-0.0200171157982987	1
"dkgB"	-0.011134965047674	1
"ydcT"	-0.00274867937806141	1
"IR971"	-0.0165505074552962	1
"ESCRE3877"	-0.00661120583879918	1
"lacY"	-0.0102231303432092	1
"trpC"	-0.0565052238552017	1
"yfdX"	-0.00982633475919126	1
"yibH"	-0.00564478021572436	1
"sufI"	-0.0751523264692118	1
"gph"	-0.000284768915745283	1
"IR1239"	-0.0501668499177824	1
"cox"	-0.0160027876677678	1
"mqsR"	-0.0153130532299441	1
"gabT"	-0.0264818719013992	1
"bglF"	-0.00460311967453087	1
"acrD"	-0.00202088457161331	1
"IR3539"	-0.00740237675184935	1
"fecB"	-0.0199814087316193	1
"smpB"	-0.0213663856820282	1
"greB"	-0.00131205377127197	1
"IR443"	-0.0302046830344546	1
"yoaB"	-0.0108379376220374	1
"ECB_01488"	-0.0578372051444624	1
"torT"	-0.00183714024859668	1
"ampD"	-0.0272997479672218	1
"fhlA"	-0.00148399844327638	1
"R#2"	-0.0222330300660487	1
"uidC"	-0.0106878617343564	1
"yhhI#1"	-0.00689010061775274	1
"IR1040"	-0.113807499598911	1
"csgD"	-0.0234515420731055	1
"abgT"	-0.00492723296063576	1
"fecR"	-0.105011223058136	1
"IR688"	-0.0385317198924387	1
"ECB_03541"	-0.00294491963434006	1
"prkB"	-0.0215849186885566	1
"IR817"	-0.000957133467170714	1
"argI"	-0.105150698840423	1
"ECB_01342"	-0.00344939916542758	1
"smf"	-0.00164330808813484	1
"mrcA"	-0.0201035840416468	1
"ycjQ"	-0.00222653964077222	1
"yggG"	-0.00177008834329565	1
"cpsB"	-0.00033919889521293	1
"ECB_00832"	-0.000997028027124259	1
"fadR"	-0.0229710189661635	1
"ydeN"	-0.00902530350813764	1
"yaiE"	-0.0205733297740628	1
"intQ#1"	-0.0137956605614949	1
"ycaD"	-0.00174906637905518	1
"IR1071"	-0.0220582537003188	1
"fdoI"	-0.00270224344561307	1
"yjhS"	-0.0224114993058855	1
"yfeH"	-0.013838364223812	1
"mdoD"	-0.00318560249160971	1
"alkA"	-0.00318312062744213	1
"ECB_03382"	-0.0118812235688708	1
"narP"	-0.00376710175734388	1
"hpaD"	-0.0105743786371208	1
"ybcN"	-0.0048610935494884	1
"IR123"	-0.0123250497844096	1
"yhdP"	-0.0486564959534461	1
"ynaI"	-0.00409011466921284	1
"sgcQ"	-0.0393659815874565	1
"kdpA"	-0.0163871841872754	1
"astD"	-0.0132507001508109	1
"speA"	-0.00511030327772562	1
"gatC"	-0.0171801255349602	1
"IR758"	-0.00405427217763114	1
"IR809"	-0.0176891160050278	1
"yeeT"	-0.0447181750583922	1
"creD#1"	-0.0101854414403369	1
"nagC"	-0.00453116537141595	1
"glcB"	-0.0235214158155111	1
"yieH"	-0.00194766922248959	1
"ycfZ"	-0.0141475905183584	1
"IR243"	-0.0103797087098849	1
"cysZ"	-0.0172730624813091	1
"fixB"	-0.00706606460311176	1
"nudG"	-0.028354682052987	1
"aas"	-0.0282837974769538	1
"IR278"	-0.00853669013912989	1
"ECB_misc_RNA_47"	-0.0214417915213143	1
"IR2816"	-0.00578402979659508	1
"IR1749"	-0.0194421008040336	1
"yghW"	-0.000775368481351026	1
"fic"	-0.018742741306854	1
"hepA"	-0.042269591371196	1
